source_system,source_record_id,support_ticket_id,support_ticket_created_date_time,requester_name,requester_email,requester_phone,contact_channel,issue_category,ticket_status,resolution_time_hours_minutes
SUPPORT,SUP000103,SUP000103,2025-01-10 07:31:36,Rebecca Evans,rbeecca.evans@hotmail.com,+44 7140863963,Email,Refund request,Open,
SUPPORT,SUP000104,SUP000104,2025-01-10 08:46:13,Anna Edwards,anna.edwards@gmail.com,+44 7697088604,Email,Refund request,Resolved,02:37
SUPPORT,SUP000105,SUP000105,2025-01-10 10:37:09,Roy Hurst,roy.hurst@yahoo.com,,Email,Accessibility,Resolved,12:01
SUPPORT,SUP000106,SUP000106,2025-01-10 11:14:33,Billy Marsh,,+44 7210191546,Phone,Refund request,Resolved,08:06
SUPPORT,SUP000107,SUP000107,2025-01-10 18:26:46,Kelly Schofield,,+44 7227672729,Phone,Refund request,Resolved,20:26
SUPPORT,SUP000108,SUP000108,2025-01-10 19:17:57,Patricia Webb,patricia.webb@hotmail.com,+44 7533778577,Email,Enquiry,Resolved,05:55
SUPPORT,SUP000109,SUP000109,2025-01-10 21:26:21,Michelle Turner,michelle.turner@yahoo.fr,+44 7909059917,Email,Refund request,Resolved,20:44
SUPPORT,SUP000110,SUP000110,2025-01-10 21:50:50,Louise Pearson,louise.pearson@yahoo.com,+44 7892186629,Phone,Refund request,Resolved,45:13
SUPPORT,SUP000111,SUP000111,2025-01-11 01:24:18,Mitchell Todd,mitchell.todd@hotmail.com,+44 7723060596,Email,Refund request,Resolved,06:41
SUPPORT,SUP000112,SUP000112,2025-01-11 15:44:27,Chelsea Kay,chelsea.kay@hotmail.com,,Email,Enquiry,Resolved,09:43
SUPPORT,SUP000113,SUP000113,2025-01-11 16:07:37,Frank Jackson,frank.jackson@hotmail.com,,Email,Enquiry,Resolved,10:10
SUPPORT,SUP000114,SUP000114,2025-01-11 16:29:47,Natasha Middleton,natasha.middleton@yahoo.com,,Email,Accessibility,Resolved,05:21
SUPPORT,SUP000115,SUP000115,2025-01-11 17:04:43,Lewis Thornton,lewis.thornton@hotmail.co.uk,+44 7743390083,Email,Enquiry,Resolved,20:07
SUPPORT,SUP000116,SUP000116,2025-01-11 17:34:37,Bernard O'Donnell,,+44 7633307557,Phone,Accessibility,Resolved,10:34
SUPPORT,SUP000117,SUP000117,2025-01-11 23:17:17,Tracey O'Connor,tracey.oconnor@yahoo.com,+44 7942776315,Email,Refund request,Resolved,33:44
SUPPORT,SUP000118,SUP000118,2025-01-11 23:31:35,Wendy Green,wendy.green2@hotmail.com,+44 7137585550,Email,Refund request,Open,
SUPPORT,SUP000119,SUP000119,2025-01-12 04:08:57,Timothy Howarth,timothy.howarth@hotmail.com,,Email,Enquiry,Resolved,02:44
SUPPORT,SUP000120,SUP000120,2025-01-12 06:38:09,Clive Singh,clive.singh@gmail.com,+44 7594211925,Email,Refund request,Resolved,14:46
SUPPORT,SUP000121,SUP000121,2025-01-12 10:53:03,Rachael Houghton,rachael.houghton@hotmail.com,+44 7377841894,Email,Refund request,Resolved,06:36
SUPPORT,SUP000122,SUP000122,2025-01-12 11:40:27,Dylan Saunders,dylan.saunders@yahoo.com,+44 7322269026,Email,Refund request,Open,
SUPPORT,SUP000123,SUP000123,2025-01-12 14:10:38,Russell Davies,russell.davies@hotmail.fr,+44 7410592199,Phone,Enquiry,Resolved,08:10
SUPPORT,SUP000124,SUP000124,2025-01-12 15:44:42,Kenneth Carter,kenneth.carter@orange.fr,+44 7218099887,Phone,Enquiry,Resolved,05:58
SUPPORT,SUP000125,SUP000125,2025-01-12 17:11:39,Christopher Watson,christopher.watson@yahoo.com,+44 7580035481,Phone,Complaint,Open,
SUPPORT,SUP000126,SUP000126,2025-01-12 18:58:05,Shaun Noble,shaun.noble@yahoo.com,+44 7045831376,Email,Refund request,Resolved,11:31
SUPPORT,SUP000127,SUP000127,2025-01-12 21:10:17,Kate Waters,kate.waters@hotmail.com,,Email,Refund request,Resolved,13:01
SUPPORT,SUP000128,SUP000128,2025-01-12 23:20:47,Vanessa Wade,vanessa.wade@msn.com,+44 7104466830,Email,Complaint,Resolved,19:56
SUPPORT,SUP000129,SUP000129,2025-01-13 04:40:05,Kathleen Lewis,kathleen.lewis@gmail.com,+44 7283333273,Email,Refund request,Resolved,33:02
SUPPORT,SUP000130,SUP000130,2025-01-13 05:39:34,Duncan Mills,duncanmills@hotmail.com,+44 7998249040,Email,Enquiry,Resolved,05:20
SUPPORT,SUP000131,SUP000131,2025-01-13 11:11:37,Leah Singh,leah.singh@hotmail.fr,+44 7757898807,Email,Complaint,Resolved,31:23
SUPPORT,SUP000132,SUP000132,2025-01-13 11:59:22,Irene Edwards,irene.edwards@aol.com,+44 7233909753,Email,Refund request,Resolved,03:09
SUPPORT,SUP000133,SUP000133,2025-01-13 12:48:11,John Owens,john.owens@hotmail.co.uk,+44 7681516504,Phone,Enquiry,Resolved,01:10
SUPPORT,SUP000134,SUP000134,2025-01-13 13:02:04,Russell Howard,russell.howard@hotmail.com,+44 7448526998,Email,Enquiry,Resolved,24:21
SUPPORT,SUP000135,SUP000135,2025-01-13 13:51:18,Thomas Kelly,thomas.kelly@yahoo.com,+44 7496852755,Email,Refund request,Resolved,09:34
SUPPORT,SUP000136,SUP000136,2025-01-13 15:23:11,Zoe Moss,,+44 7002394496,Phone,Enquiry,Resolved,09:34
SUPPORT,SUP000137,SUP000137,2025-01-13 19:22:21,Bethan Jones,bethan.jones@yahoo.com,+44 7164116802,Email,Complaint,Open,
SUPPORT,SUP000138,SUP000138,2025-01-13 22:05:41,Karen James,karen.james2@hotmail.com,+44 7900616856,Phone,Complaint,Resolved,14:51
SUPPORT,SUP000139,SUP000139,2025-01-13 22:26:53,Gerard Robson,gerard.robson@gmail.com,+44 7944022007,Email,Refund request,Resolved,13:19
SUPPORT,SUP000140,SUP000140,2025-01-13 22:33:51,Gary Ellis,gary.ellis@hotmail.fr,+44 7824766950,Phone,Accessibility,Resolved,01:16
SUPPORT,SUP000141,SUP000141,2025-01-13 23:35:53,Carly Johnson,carly.johnson@hotmail.com,+44 7463614949,Phone,Refund request,Resolved,14:30
SUPPORT,SUP000142,SUP000142,2025-01-14 04:56:12,John Wilson,john.wilson@gmail.com,+44 7756120809,Email,Enquiry,Resolved,02:52
SUPPORT,SUP000143,SUP000143,2025-01-14 07:03:55,Claire Phillips,claire.phillips@gmail.com,+44 7743105303,Phone,Complaint,Resolved,03:07
SUPPORT,SUP000144,SUP000144,2025-01-14 08:24:48,Ronald Lewis,ronald.lewis@gmail.com,+44 7877061766,Phone,Refund request,Resolved,07:08
SUPPORT,SUP000145,SUP000145,2025-01-14 13:35:40,Elliot Marsden,,+44 7152035907,Phone,Accessibility,Resolved,09:59
SUPPORT,SUP000146,SUP000146,2025-01-14 13:53:17,Sandra Sullivan,,+44 7736779540,Phone,Complaint,Resolved,08:50
SUPPORT,SUP000147,SUP000147,2025-01-14 19:12:28,Nicholas Barrett,nicholas.barrett@gmail.com,+44 7403808131,Email,Enquiry,Resolved,02:01
SUPPORT,SUP000148,SUP000148,2025-01-14 23:00:49,Edward Walsh,edward.walsh@gmail.com,,Email,Enquiry,Resolved,07:01
SUPPORT,SUP000149,SUP000149,2025-01-14 23:01:22,Michael Murray,michael.murray@hotmail.fr,+44 7593774866,Phone,Accessibility,Open,
SUPPORT,SUP000150,SUP000150,2025-01-15 01:36:40,Judith Anderson,,+44 7273202631,Phone,Accessibility,Open,
SUPPORT,SUP000151,SUP000151,2025-01-15 01:53:26,Helen Garner,helen.garner@yahoo.com,+44 7921324702,Email,Complaint,Resolved,09:33
SUPPORT,SUP000152,SUP000152,2025-01-15 03:07:34,Rita Brown,rita.brown2@yahoo.com,+44 7029252924,Phone,Refund request,Resolved,37:51
SUPPORT,SUP000153,SUP000153,2025-01-15 05:03:29,Alexandra Lord,aelxandra.lord@hotmail.com,+44 7489242795,Email,Accessibility,Resolved,15:59
SUPPORT,SUP000154,SUP000154,2025-01-15 07:08:12,Dale Parker,dalep.arker@yahoo.com,,Email,Complaint,Resolved,04:35
SUPPORT,SUP000155,SUP000155,2025-01-15 08:20:20,Annette Webster,annette.webster@hotmail.com,+44 7259996737,Email,Refund request,Resolved,14:32
SUPPORT,SUP000156,SUP000156,2025-01-15 08:27:42,Elliot Taylor,elliot.tayolr@yahoo.com,,Email,Complaint,Resolved,10:44
SUPPORT,SUP000157,SUP000157,2025-01-15 11:22:39,Sarah Hunt,sarah.hunt@aol.com,+44 7787075371,Email,Enquiry,Resolved,01:37
SUPPORT,SUP000158,SUP000158,2025-01-15 13:30:00,Chelsea Frost,chelsea.frost@gmail.com,+44 7858620101,Email,Refund request,Resolved,03:33
SUPPORT,SUP000159,SUP000159,2025-01-15 13:58:19,Mohammed Taylor,mohammed.taylor@yahoo.com,,Email,Refund request,Resolved,18:39
SUPPORT,SUP000160,SUP000160,2025-01-15 14:23:34,Carly Johnson,carly.johnson@hotmail.com,,Email,Refund request,Resolved,33:38
SUPPORT,SUP000161,SUP000161,2025-01-15 17:55:33,Clare Rees,clare.rees@yahoo.com,,Email,Refund request,Resolved,29:13
SUPPORT,SUP000162,SUP000162,2025-01-15 18:48:11,Pamela Hammond,pamela.hammond@hotmail.com,+44 7322100190,Email,Accessibility,Resolved,07:20
SUPPORT,SUP000163,SUP000163,2025-01-15 20:10:15,Roger Robinson,roger.robinson@yahoo.com,+44 7476759481,Phone,Refund request,Resolved,24:51
SUPPORT,SUP000164,SUP000164,2025-01-15 20:24:37,Ruth Brown,ruth.brown@gmail.com,+44 7016998121,Email,Refund request,Open,
SUPPORT,SUP000165,SUP000165,2025-01-15 21:09:16,Judith Jackson,judith.jackson@gmail.com,,Email,Refund request,Resolved,01:23
SUPPORT,SUP000166,SUP000166,2025-01-15 23:20:49,Francesca Miller,francesca.miller@yahoo.com,+44 7341353322,Email,Complaint,Resolved,17:59
SUPPORT,SUP000167,SUP000167,2025-01-16 02:49:26,Ian Smith,ian.smith@gmail.com,+44 7973884757,Email,Enquiry,Open,
SUPPORT,SUP000168,SUP000168,2025-01-16 03:28:12,Frederick Morris,frederick.morris@yahoo.com,,Email,Refund request,Resolved,12:20
SUPPORT,SUP000169,SUP000169,2025-01-16 08:19:36,Sharon Mahmood,sharon.mahmood@hotmail.com,,Email,Refund request,Resolved,05:44
SUPPORT,SUP000170,SUP000170,2025-01-16 11:23:11,Kathryn Allen,kathryn.allen@yahoo.com,+44 7785779108,Phone,Refund request,Resolved,36:23
SUPPORT,SUP000171,SUP000171,2025-01-16 16:47:53,Irene Williams,irene.williams@hotmail.com,+44 7940135960,Phone,Enquiry,Resolved,05:17
SUPPORT,SUP000172,SUP000172,2025-01-16 16:56:27,Karl Williams,karl.williams@hotmail.com,+44 7277032899,Email,Refund request,Resolved,28:53
SUPPORT,SUP000173,SUP000173,2025-01-16 17:01:10,Ryan Abbott,yran.abbott@yahoo.com,+44 7025268282,Phone,Refund request,Open,
SUPPORT,SUP000174,SUP000174,2025-01-16 18:40:20,Andrew Burgess,,+44 7755893415,Phone,Enquiry,Resolved,15:24
SUPPORT,SUP000175,SUP000175,2025-01-17 02:37:29,Scott Reeves,scott.reeves@gmail.com,+44 7941005578,Email,Complaint,Resolved,13:57
SUPPORT,SUP000176,SUP000176,2025-01-17 02:39:27,Anthony Clarke,anthony.clarke@gmail.com,+44 7769187722,Phone,Accessibility,Resolved,25:19
SUPPORT,SUP000177,SUP000177,2025-01-17 02:42:38,Harriet Powell,harriet.powell@yahoo.com,+44 7461985689,Phone,Complaint,Resolved,12:44
SUPPORT,SUP000178,SUP000178,2025-01-17 09:13:38,Clive Lloyd,clive.lloyd@yahoo.com,+44 7868849590,Phone,Enquiry,Resolved,12:17
SUPPORT,SUP000179,SUP000179,2025-01-17 11:12:22,Wayne Ros,wayne.rose@gmail.com,+44 7186064467,Email,Accessibility,Open,
