source_system,source_record_id,transaction_id,transaction_date_time,guest_transaction,portal_user_id,billing_address,billing_postcode,event_id,event_name,event_category,event_date,ticket_type,ticket_quantity,unit_price,transaction_total,card_brand,cardholder_name,card_last_4,email,purchaser_first_name,purchaser_surname,telephone_number
ECOMMERCE,TXN000014,TXN000014,2025-01-01 01:37:21,True,,"Studio 1, Bennett Groves, Wolverhampton",WV1 3VN,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,4,54.87,219.48,Visa,Valerie Clark,5949,valerie.clark@yahoo.com,Valerie,Clark,
ECOMMERCE,TXN000015,TXN000015,2025-01-01 01:38:40,True,,"Flat 67D, Jones Land, London",NW17HC,EVT0003,Big Special,Comedy,2025-01-18,Seated,1,77.23,77.23,Visa,Nathan Williams,2304,nathan.williams@hotmail.com,Nathan,Williams,+44 7943131702
ECOMMERCE,TXN000016,TXN000016,2025-01-01 02:03:03,True,,"7 Newton Viaduct, Chester",CH1 3BS,EVT0042,Late Night Comedy Club,Comedy,2025-10-18,Seated,2,43.75,87.5,Visa,Owen Ellis,1243,owen.ellis@hotmail.com,Owen,Ellis,+44 7160588815
ECOMMERCE,TXN000017,TXN000017,2025-01-01 02:09:25,True,,"Studio 68, Lane Brooks, Bradford",BD1 4OL,EVT0022,Secret Carnival,Family,2025-05-31,Standing,1,24.82,24.82,Visa,Georgia Hunt,7050,georgia.hunt@hotmail.com,Georgia,Hunt,+44 7800708904
ECOMMERCE,TXN000018,TXN000018,2025-01-01 02:16:48,True,,"Flat 9, Barbara Mount, Leeds",LS1 4QL,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Declan Dean,3621,declan.dean@hotmail.com,Declan,Dean,+44 7532740427
ECOMMERCE,TXN000019,TXN000019,2025-01-01 02:21:30,True,,"05 David Squares, Manchester",M1 2JW,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,3,62.22,186.66,Mastercard,Denise Ahmed,0939,denise.ahmed@gmail.com,Denise,Ahmed,+44 7979621680
ECOMMERCE,TXN000020,TXN000020,2025-01-01 02:24:56,False,USR004065,"9 Pickering Stravenue, Cambridge",CB1 1AV,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Mastercard,Victor Shaw,6385,victor.shaw@gmail.com,Victor,hSaw,+44 7417576442
ECOMMERCE,TXN000021,TXN000021,2025-01-01 02:33:02,True,,"869 Kimberley Corner, Sheffield",S1 1HD,EVT0002,Elite Sports Festival,Sport,2025-01-11,Standing,1,26.41,26.41,Visa,Phillip Naylor,6397,phillip.naylor@hotmail.com,Phillip,Naylor,+44 7736440885
ECOMMERCE,TXN000022,TXN000022,2025-01-01 02:48:58,True,,"Studio 0, Conor Isle, Aberdeen",AB10 8NV,EVT0008,Northern Horizons,Music,2025-02-22,Standing,1,31.35,31.35,Visa,Francesca Clarke,7363,francesca.clarke2@yahoo.com,Francesca,Clarke,+44 7653409808
ECOMMERCE,TXN000023,TXN000023,2025-01-01 02:51:58,False,USR000832,"Studio 05, Adam Mills, Reading",RG1 8YI,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Mastercard,Fiona Scott,5908,fiona.scott@hotmail.com,Fiona,Scott,07857620302
ECOMMERCE,TXN000024,TXN000024,2025-01-01 02:54:34,False,USR002139,"5 Watts Rapids, Peterborough",PE1 9VW,EVT0030,Punchline Showcase,Comedy,2025-07-26,Standing,1,41.95,41.95,Visa,Carl May,6420,carl.may@aol.com,Carl,May,+44 7561903129
ECOMMERCE,TXN000025,TXN000025,2025-01-01 02:55:37,True,,"Studio 3, Barton Neck, London",SW10TV,EVT0035,Comic Circuit,Comedy,2025-08-30,Standing,1,66.8,66.8,Visa,Jake Burgess,2552,jake.buregss@yahoo.com,Jake,Burgess,+44 7175107190
ECOMMERCE,TXN000026,TXN000026,2025-01-01 02:55:40,False,USR000112,"Flat 83W, Peter Mews, Aberdeen",AB10 2JF,EVT0013,Colourful Carnival 2,Family,2025-03-29,Standing,3,58.25,174.75,Visa,Pauline Davies,4194,pauline.davies@gmail.com,Pauline,Davies,07878547285
ECOMMERCE,TXN000027,TXN000027,2025-01-01 03:01:31,True,,"Flat 72Y, Kirk Knoll, Southampton",SO145UQ,EVT0002,Elite Sports Festival,Sport,2025-01-11,Seated,1,42.67,42.67,Visa,Glen Perry,1720,glen.perry@gmail.com,Glen,Perry,+44 7132985072
ECOMMERCE,TXN000028,TXN000028,2025-01-01 03:09:31,False,USR004016,"802 Stewart Run, London",W18QW,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,3,61.38,184.14,American Express,Ronald Williams,2344,ronald.williams@gmail.com,Ronald,Williams,+44 7622991125
ECOMMERCE,TXN000029,TXN000029,2025-01-01 03:12:26,True,,"Studio 78, Sylvia Parks, Worcester",WR1 3ZE,EVT0034,Unfiltered Night,Comedy,2025-08-23,Standing,2,35.86,71.72,Mastercard,Bruce Evans,7608,bruce.evans@gmail.com,Bruce,Evans,+44 7706347524
ECOMMERCE,TXN000030,TXN000030,2025-01-01 03:30:39,True,,"336 Carter Mission, Liverpool",L1 5AQ,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,3,54.87,164.61,Mastercard,Sarah Hunt,6910,sarah.hunt@aol.com,Sarah,Hunt,+44 7787075351
ECOMMERCE,TXN000031,TXN000031,2025-01-01 03:39:43,False,USR002724,"Flat 5, Owen Meadows, London",E1 5QN,EVT0029,The Golden Letter,Theatre,2025-07-19,Seated,2,65.43,130.86,Visa,Abigail Thompson,8202,abigail.thompson@hotmail.com,Abigail,Thompson,+44 7363367338
ECOMMERCE,TXN000032,TXN000032,2025-01-01 03:44:34,True,,"395 Diana Summit, Lincoln",LN1 0GU,EVT0016,Punchline Joke Factory,Comedy,2025-04-19,Standing,1,47.85,47.85,Visa,Frances Ellis,4415,francesellis00@hotmail.com,Frances,Ellis,
ECOMMERCE,TXN000033,TXN000033,2025-01-01 03:54:02,True,,"881 Davies Hollow, Gloucester",GL1 7ZX,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,1,61.38,61.38,Mastercard,Joshua Humphries,8873,joshua.humphries@gmail.com,Joshua,Humphries,+44 7296253613
ECOMMERCE,TXN000034,TXN000034,2025-01-01 03:55:21,True,,"0 Rhys Port, Leeds",LS1 3BH,EVT0006,Golden Signals,Music,2025-02-08,Standing,3,27.71,83.13,Mastercard,Helen M.,5857,helen.moore@gmail.com,Helen,Moore,+44 7119096991
ECOMMERCE,TXN000035,TXN000035,2025-01-01 03:59:23,False,USR001130,"76 Howell Causeway, Exeter",EX1 6UN,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Visa,Janet Barnes,9266,janet.barnes@hotmail.com,Janet,Barnes,+44 7990091431
ECOMMERCE,TXN000036,TXN000036,2025-01-01 04:00:19,True,,"6 Lewis Stream, Portsmouth",PO1 7PC,EVT0006,Golden Signals,Music,2025-02-08,Standing,1,27.71,27.71,Visa,Joan Lewis,2008,jlewis47@outlook.com,Joan,Lewis,+44 7491962029
ECOMMERCE,TXN000037,TXN000037,2025-01-01 04:00:24,True,,"Flat 6, Stanley Mountain, Wrexham",LL11 2EX,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Lydia Preston,6610,lydia.preston@wanadoo.fr,Lydia,Preston,+44 7604562139
ECOMMERCE,TXN000038,TXN000038,2025-01-01 04:06:57,True,,"Flat 3, Pollard Mews, Preston",PR1 9CN,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Visa,Amy Murray,7067,amy.murray@hotmail.com,Amy,Murray,+44 7070968452
ECOMMERCE,TXN000039,TXN000039,2025-01-01 04:10:50,False,USR001598,"26 Wilson Extensions, Carlisle",CA1 9DX,EVT0002,Elite Sports Festival,Sport,2025-01-11,Standing,1,26.41,26.41,Mastercard,Jordan Roberts,6727,jordan.robert2s@gmail.com,Jordan,Roberts,+44 7039113478
ECOMMERCE,TXN000040,TXN000040,2025-01-01 04:11:25,True,,"Flat 24H, Stewart Bypass, Swansea",SA1 0PS,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Mastercard,Joanne Williams,8023,joanne.williams@yahoo.com,Joanne,Williams,+44 7206621798
ECOMMERCE,TXN000041,TXN000041,2025-01-01 04:13:43,True,,"Studio 5, Wallace Dam, Liverpool",L13ZY,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,2,62.22,124.44,Mastercard,Bruce Farmer,3759,bruce.farmer@gmail.com,Bruce,Farmer,
ECOMMERCE,TXN000042,TXN000042,2025-01-01 04:25:34,True,,"Studio 49q, Reid Course, London",SW1 9ZU,EVT0012,Amazing Carnival,Family,2025-03-22,Standing,2,26.99,53.98,Visa,Dawn Frost,9113,dawn.frost@hotmail.com,Dawn,Frost,+44 7822823130
ECOMMERCE,TXN000043,TXN000043,2025-01-01 04:27:10,False,USR000088,"Studio 40B, Poole Summit, Cardiff",CF10 8OQ,EVT0045,Big Sessions,Comedy,2025-11-08,Standing,2,67.78,135.56,Mastercard,Charlene O'Brien,1319,charlene.obrien@hotmail.com,Charlene,O'Brien,07154188079
ECOMMERCE,TXN000044,TXN000044,2025-01-01 04:32:16,True,,"Studio 84, Brown Crossing, Swansea",SA19WR,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Albert Smith,0151,albert.smith@yahoo.com,lAbert,Smith,+44 7717326835
ECOMMERCE,TXN000045,TXN000045,2025-01-01 04:33:45,False,USR003925,"Studio 74, Hayes Vista, Luton",LU1 4VF,EVT0003,Big Special,Comedy,2025-01-18,Standing,2,61.14,122.28,Mastercard,Lisa Shah,6241,lisashah@aol.com,Lisa,Shah,+44 7040408816
ECOMMERCE,TXN000046,TXN000046,2025-01-01 04:34:35,True,,"Studio 23, Williamson Springs, Derby",DE1 2FV,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Visa,Donna Gill,7640,,Donna,Gill,
ECOMMERCE,TXN000047,TXN000047,2025-01-01 04:38:30,True,,"Studio 05E, Ahmed Divide, Sheffield",S1 0EZ,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Visa,Clive Watson,6204,,Clive,Wason,
ECOMMERCE,TXN000048,TXN000048,2025-01-01 04:43:34,True,,"17 Mandy Underpass, Bristol",BS1 9LS,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Karl Webb,8854,karl.webb@yahoo.fr,Karl,Webb,
ECOMMERCE,TXN000049,TXN000049,2025-01-01 04:44:08,True,,"Flat 42, Ward Mountain, Worcester",WR1 5HX,EVT0006,Golden Signals,Music,2025-02-08,Standing,1,27.71,27.71,Mastercard,Luke Roberts,0976,luke.roberts@yahoo.com,Luke,Roberts,+44 7564468806
ECOMMERCE,TXN000050,TXN000050,2025-01-01 04:55:40,True,,"Studio 78R, Nicole Estate, Lisburn",BT273JK,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,2,61.38,122.76,Mastercard,CAROL HANCOCK,1410,carol.hancock@yahoo.com,Carol,Hancock,+44 7873454435
ECOMMERCE,TXN000051,TXN000051,2025-01-01 05:01:36,True,,"67 Mason Vista, London",E1 4GE,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,1,61.38,61.38,Mastercard,Liam Murphy,4576,liam.murphy@yahoo.com,Liam,Murphy,+44 7548598348
ECOMMERCE,TXN000052,TXN000052,2025-01-01 05:02:18,False,USR000434,"78 Freeman Overpass, Leeds",LS19MK,EVT0002,Elite Sports Festival,Sport,2025-01-11,Standing,3,26.41,79.23,Visa,Aaron Smith,0936,aaron.smith@yahoo.com,A.,Smith,+44 7723346224
ECOMMERCE,TXN000053,TXN000053,2025-01-01 05:04:20,False,USR002562,"50 Alexandra Loaf, London",N1 0DA,EVT0013,Colourful Carnival 2,Family,2025-03-29,Seated,3,79.12,237.36,American Express,Ashley Morris,0781,ashley.morris@gmail.com,Ashley,Morris,+44 7055187059
ECOMMERCE,TXN000054,TXN000054,2025-01-01 05:06:22,True,,"3 Molly Plain, Birmingham",B1 5BS,EVT0015,Late Night Sessions,Comedy,2025-04-12,Standing,1,31.7,31.7,Visa,G. Brookes,7068,gemma.brookes@hotmail.com,Gemma,Brookes,
ECOMMERCE,TXN000055,TXN000055,2025-01-01 05:07:45,False,USR002347,"Studio 50, Jennifer Villages, Darlington",DL1 0RO,EVT0011,Echoing Echoes,Music,2025-03-15,Standing,2,53.24,106.48,Mastercard,Ryan Lloyd,1637,ryan.lloyd@yahoo.com,Ryan,Lloyd,+44 7321561462
ECOMMERCE,TXN000056,TXN000056,2025-01-01 05:10:15,True,,"Studio 68, Shaw Village, Hull",HU1 8OM,EVT0011,Echoing Echoes,Music,2025-03-15,Seated,2,75.87,151.74,Visa,Patrick Parkinson,6450,patrickparkinson47@yahoo.com,Patrick,Parkinson,+44 7384352429
ECOMMERCE,TXN000057,TXN000057,2025-01-01 05:13:28,True,,"52 Ruth Forest, Chelmsford",CM1 7EK,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Kyle Johnson,6053,kyle.jhonson@yahoo.com,Kyle,Johnson,+44 7525911371
ECOMMERCE,TXN000058,TXN000058,2025-01-01 05:13:45,False,USR001396,"Flat 71p, Aaron Shores, Ipswich",IP1 2UJ,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,2,62.22,124.44,Visa,Conor Henderson,6942,conor.henderson@hotmail.com,Conor,Henderson,+44 7633074113
ECOMMERCE,TXN000059,TXN000059,2025-01-01 05:16:34,False,USR000799,"Studio 7, Michael Radial, London",SW1 3SX,EVT0017,Wonderful Carnival,Family,2025-04-26,Standing,1,28.35,28.35,Mastercard,Barry Shaw,0480,barry.shaw@yahoo.com,Barry,Shaw,
ECOMMERCE,TXN000060,TXN000060,2025-01-01 05:17:49,True,,"Studio 7, Wallace Canyon, Wolverhampton",WV1 3PU,EVT0002,Elite Sports Festival,Sport,2025-01-11,Standing,1,26.41,26.41,Mastercard,Luke King,1140,lukeking@hotmail.com,Luke,King,+44 7100761520
ECOMMERCE,TXN000061,TXN000061,2025-01-01 05:26:34,False,USR000681,"85 Davies Ways, Dundee",DD1 4UR,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,2,54.87,109.74,Visa,Kerry Patel,0212,kerry.patel@gmail.com,Kerry,Patel,+44 7878147424
ECOMMERCE,TXN000062,TXN000062,2025-01-01 05:34:29,False,USR002604,"Flat 8, Jenna Camp, Nottingham",NG1 9GC,EVT0016,Punchline Joke Factory,Comedy,2025-04-19,Seated,1,72.45,72.45,Visa,ROBIN MARSHALL,3508,robin.marshall@gmail.com,Robin,Marshall,+44 7698318719
ECOMMERCE,TXN000063,TXN000063,2025-01-01 05:35:44,True,,"Studio 06f, Kirby Court, Lincoln",LN1 2VC,EVT0016,Punchline Joke Factory,Comedy,2025-04-19,Standing,1,47.85,47.85,Visa,Elliot Rees,9878,elliot.rees@hotmail.com,Elliot,Rees,+44 7385569300
ECOMMERCE,TXN000064,TXN000064,2025-01-01 05:36:22,False,USR001855,"Studio 24, Duncan River, Bath",BA1 4OM,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,2,54.87,109.74,Mastercard,Luke Wilkinson,2797,,Luke,Wilkinson,+44 7393755323
ECOMMERCE,TXN000065,TXN000065,2025-01-01 05:39:04,True,,"054 Harvey Throughway, Manchester",M13PH,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,4,54.87,219.48,Visa,MARY SCOTT,3606,mary.scott@yahoo.com,Mary,Scott,+44 7638206738
ECOMMERCE,TXN000066,TXN000066,2025-01-01 05:40:58,False,USR001653,"19 Shannon Motorway, Carlisle",CA1 3HB,EVT0006,Golden Signals,Music,2025-02-08,Standing,1,27.71,27.71,Visa,Danny Smith,6057,danny.smith@gmail.com,Danny,Smith,+44 7438425847
ECOMMERCE,TXN000067,TXN000067,2025-01-01 05:41:07,False,USR004162,"0 Vanessa Camp, Oxford",OX1 4NL,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Donald Reynolds,8256,donald.reynolds@hotmail.com,Donald,Reynolds,+44 7734 576987
ECOMMERCE,TXN000068,TXN000068,2025-01-01 05:45:36,True,,"Studio 20, Greenwood Forges, Oxford",OX1 9HY,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Visa,Carole Gardiner,7632,carole.gardiner@gmail.com,Carole,Gardiner,+44 7108113645
ECOMMERCE,TXN000069,TXN000069,2025-01-01 05:57:01,False,USR003904,"4 Yates Lakes, Ipswich",IP1 9XK,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,4,54.87,219.48,American Express,KATIE WATSON,7141,,Katie,Watson,+44 7972371897
ECOMMERCE,TXN000070,TXN000070,2025-01-01 06:14:28,True,,"Studio 62l, Birch Dale, Newry",BT34 3MF,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,1,61.38,61.38,Visa,Helen Whittaker,1065,helen.whittaker@hotmail.com,Helen,Whittaker,+44 7116480615
ECOMMERCE,TXN000071,TXN000071,2025-01-01 06:14:36,True,,"Studio 76K, Moran Throughway, Belfast",BT1 0VX,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,SHANNON BRADLEY,8548,shannon.bradley@gmail.com,Shannon,Bradley,+44 7376538732
ECOMMERCE,TXN000072,TXN000072,2025-01-01 06:30:17,False,USR001309,"Studio 17P, Potter Green, Inverness",IV10AG,EVT0007,Curious Discovery,Family,2025-02-15,Standing,2,38.52,77.04,Visa,Garry Benson,8744,garry.benson@gmail.com,Garry,Benson,
ECOMMERCE,TXN000073,TXN000073,2025-01-01 06:31:15,True,,"Flat 21N, Smith Inlet, London",NW16ZR,EVT0041,Curious Discovery 2,Family,2025-10-11,Standing,1,27.19,27.19,Visa,Julian Ford,0745,julian.ford@gmail.com,Julian,Ford,+44 7182163924
ECOMMERCE,TXN000074,TXN000074,2025-01-01 06:31:16,False,USR000276,"Flat 17d, Benjamin Forges, Cambridge",CB1 9OC,EVT0013,Colourful Carnival 2,Family,2025-03-29,Standing,1,58.25,58.25,Visa,George Field,2760,george.field@hotmail.com,George,Field,+44 7205760802
ECOMMERCE,TXN000075,TXN000075,2025-01-01 06:49:51,True,,"46 Morgan Drive, Liverpool",L1 4PN,EVT0008,Northern Horizons,Music,2025-02-22,Standing,1,31.35,31.35,Visa,Melissa Stephens,7982,melissa.stephens@gmail.com,Melissa,Stephens,+44 7128759307
ECOMMERCE,TXN000076,TXN000076,2025-01-01 06:56:17,True,,"Studio 96, Little Mills, Lisburn",BT27 5QV,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Mastercard,Conor Walker,6324,,Conor,Walker,+44 7629593875
ECOMMERCE,TXN000077,TXN000077,2025-01-01 06:56:27,True,,"987 Ellis Forge, Dundee",DD1 5WH,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Paul B.,5056,paul.birch@hotmail.com,Paul,Birch,+44 7268975022
ECOMMERCE,TXN000078,TXN000078,2025-01-01 06:59:19,False,USR002264,"18 Stewart Crossroad, Peterborough",PE1 8VN,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,2,54.87,109.74,Mastercard,Julian Davison,5733,julian.davison@yahoo.com,Julian,Davison,+44 7087817211
ECOMMERCE,TXN000079,TXN000079,2025-01-01 07:02:10,False,USR000297,"300 Kerry Parkway, Portsmouth",PO1 9MY,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Mastercard,Gillian Green,4656,gillian.green@hotmail.com,Gillian,Green,+44 7963450534
ECOMMERCE,TXN000080,TXN000080,2025-01-01 07:15:37,True,,"Studio 6, Brian Springs, London",N1 1KZ,EVT0013,Colourful Carnival 2,Family,2025-03-29,Standing,3,58.25,174.75,Visa,Marie Booth,3921,mbooth66@hotmail.com,Marie,Booth,+44 7101432319
ECOMMERCE,TXN000081,TXN000081,2025-01-01 07:20:07,False,USR001429,"4 Mathew Valley, Blackburn",BB1 4ZJ,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Mastercard,Sheila Matthews,2947,sheila.matthews02@outlook.com,Sheila,Matthews,+44 7721 462325
ECOMMERCE,TXN000082,TXN000082,2025-01-01 07:26:24,False,USR003855,"Flat 44, Benjamin Spurs, Lincoln",LN1 6YS,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Visa,Vanessa George,3147,vanessa.george@hotmail.com,Vanessa,George,+44 7080785363
ECOMMERCE,TXN000083,TXN000083,2025-01-01 07:27:00,True,,"Studio 59, Sam Courts, Bristol",BS1 1PQ,EVT0014,The Last Promise,Theatre,2025-04-05,Standing,1,21.54,21.54,Mastercard,Kevin Mann,1303,kevin.mann@hotmail.com,Kevin,Mann,
ECOMMERCE,TXN000084,TXN000084,2025-01-01 07:33:41,True,,"Flat 52, Riley Loaf, Peterborough",PE1 0MA,EVT0005,Secret Quest,Family,2025-02-01,Seated,3,89.12,267.36,Visa,Trevor Shaw,7739,trevor.shaw@gmail.com,Trevor,Shaw,+44 7061655738
ECOMMERCE,TXN000085,TXN000085,2025-01-01 07:35:21,False,USR003436,"7 Bernard Drive, Cardiff",CF104UZ,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,1,54.87,54.87,Visa,Gail Moore,4740,gal.moore@hotmail.com,Gail,Moore,+44 7925218778
ECOMMERCE,TXN000086,TXN000086,2025-01-01 07:56:40,False,USR003934,"82 Simmons Heights, Peterborough",PE1 4JM,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Visa,Melanie E.,6837,melanie.eavns@gmail.com,Melanie,Evans,+44 7598314145
ECOMMERCE,TXN000087,TXN000087,2025-01-01 08:05:44,False,USR002318,"Flat 2, McDonald Estates, London",E1 7WD,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Visa,Danielle Marsh,8105,danielle.marsh@yahoo.fr,Danielle,Marsh,+44 7731446830
ECOMMERCE,TXN000088,TXN000088,2025-01-01 08:06:14,True,,"Studio 6, Davies Center, Peterborough",PE1 4YO,EVT0001,Colourful Carnival,Family,2025-01-04,Standing,2,54.87,109.74,Visa,Sam Evans,8266,sam.evans@hotmail.com,Sam,Evans,
ECOMMERCE,TXN000089,TXN000089,2025-01-01 08:07:03,True,,"151 Jade Plains, York",YO1 6GJ,EVT0003,Big Special,Comedy,2025-01-18,Standing,1,61.14,61.14,Mastercard,Justin Watts,2492,justin.watts@yahoo.com,Justin,Watts,
ECOMMERCE,TXN000090,TXN000090,2025-01-01 08:08:26,True,,"Flat 41b, Cook Crossroad, Bangor",LL57 8DC,EVT0004,Saturday Circuit,Comedy,2025-01-25,Standing,3,61.38,184.14,Mastercard,Judith Thompson,9447,judith.thompson@yahoo.com,Judith,Thompson,+44 7167410351
ECOMMERCE,TXN000091,TXN000091,2025-01-01 08:08:53,True,,"Studio 7, Lord Loop, Stoke-on-Trent",ST1 8IY,EVT0010,Premier Darts Open,Sport,2025-03-08,Standing,1,54.12,54.12,Visa,Josh White,7346,josh.white@yahoo.com,Johs,White,+44 7501537056
ECOMMERCE,TXN000092,TXN000092,2025-01-01 08:15:36,True,,"024 Andrew Underpass, London",N1 1SF,EVT0001,Colourful Carnival,Family,2025-01-04,Seated,1,62.22,62.22,Mastercard,Megan Johnson,3287,megan.johnson@gmail.com,Megan,Johnson,+44 7665647379
