source_system,source_record_id,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,support_ticket_created_date_time,requester_name,requester_email,requester_phone,contact_channel,issue_category,ticket_status,resolution_time_hours_minutes
SUPPORT,SUP000022,,,,,SUP000022,,,,,Deborah White,deborah.white@hotmail.com,+44 7200807113,,,,,,deborahwhite,deborah.white@hotmail.com,07200807113,,,,2025-01-02 21:52:29,Deborah White,deborah.white@hotmail.com,+44 7200807113,Email,Refund request,Resolved,06:57
SUPPORT,SUP000023,,,,,SUP000023,,,,,Glenn Greenwood,glenn.greenwood@yahoo.com,+44 7547326093,,,,,,glenngreenwood,glenn.greenwood@yahoo.com,07547326093,,,,2025-01-02 21:58:26,Glenn Greenwood,glenn.greenwood@yahoo.com,+44 7547326093,Email,Complaint,Open,
SUPPORT,SUP000024,,,,,SUP000024,,,,,Henry Wright,,+44 7851334649,,,,,,henrywright,,07851334649,,,,2025-01-02 22:54:19,Henry Wright,,+44 7851334649,Phone,Accessibility,Resolved,11:09
SUPPORT,SUP000025,,,,,SUP000025,,,,,Shirley Holden,shirley.holden@hotmail.com,+44 7504972217,,,,,,shirleyholden,shirley.holden@hotmail.com,07504972217,,,,2025-01-02 23:04:36,Shirley Holden,shirley.holden@hotmail.com,+44 7504972217,Email,Accessibility,Resolved,06:45
SUPPORT,SUP000026,,,,,SUP000026,,,,,Craig Birch,craig.birch@hotmail.com,+44 7656047604,,,,,,craigbirch,craig.birch@hotmail.com,07656047604,,,,2025-01-03 01:42:52,Craig Birch,craig.birch@hotmail.com,+44 7656047604,Phone,Enquiry,Resolved,10:20
SUPPORT,SUP000027,,,,,SUP000027,,,,,Damien Spencer,damien.spencer@aol.com,+44 7684650992,,,,,,damienspencer,damien.spencer@aol.com,07684650992,,,,2025-01-03 04:41:06,Damien Spencer,damien.spencer@aol.com,+44 7684650992,Email,Accessibility,Resolved,08:49
SUPPORT,SUP000028,,,,,SUP000028,,,,,Jeremy Barnes,jeremy.barnes@orange.fr,+44 7485153106,,,,,,jeremybarnes,jeremy.barnes@orange.fr,07485153106,,,,2025-01-03 04:49:29,Jeremy Barnes,jeremy.barnes@orange.fr,+44 7485153106,Email,Complaint,Resolved,24:24
SUPPORT,SUP000029,,,,,SUP000029,,,,,Dale Kelly,dale.kelly@yahoo.com,+44 7988328151,,,,,,dalekelly,dale.kelly@yahoo.com,07988328151,,,,2025-01-03 05:48:02,Dale Kelly,dale.kelly@yahoo.com,+44 7988328151,Phone,Enquiry,Resolved,02:07
SUPPORT,SUP000030,,,,,SUP000030,,,,,Jean Collier,jean.colier@yahoo.com,,,,,,,jeancollier,jean.colier@yahoo.com,,,,,2025-01-03 06:34:38,Jean Collier,jean.colier@yahoo.com,,Email,Accessibility,Resolved,14:37
SUPPORT,SUP000031,,,,,SUP000031,,,,,Charles Ahmed,charles.ahmed@gmail.com,+44 7250536859,,,,,,charlesahmed,charles.ahmed@gmail.com,07250536859,,,,2025-01-03 07:35:47,Charles Ahmed,charles.ahmed@gmail.com,+44 7250536859,Email,Accessibility,Open,
SUPPORT,SUP000032,,,,,SUP000032,,,,,Joseph Hill,,+44 7022316554,,,,,,josephhill,,07022316554,,,,2025-01-03 13:52:37,Joseph Hill,,+44 7022316554,Phone,Complaint,Resolved,14:57
SUPPORT,SUP000033,,,,,SUP000033,,,,,Gerald Owen,gerald.owen@hotmail.com,+44 7047412653,,,,,,geraldowen,gerald.owen@hotmail.com,07047412653,,,,2025-01-03 14:27:14,Gerald Owen,gerald.owen@hotmail.com,+44 7047412653,Email,Enquiry,Resolved,02:54
SUPPORT,SUP000034,,,,,SUP000034,,,,,Marilyn Reynolds,marilyn.ryenolds@gmail.com,,,,,,,marilynreynolds,marilyn.ryenolds@gmail.com,,,,,2025-01-03 15:33:54,Marilyn Reynolds,marilyn.ryenolds@gmail.com,,Email,Enquiry,Resolved,04:27
SUPPORT,SUP000035,,,,,SUP000035,,,,,Allan Webster,allan.webster@hotmail.com,+44 7216711670,,,,,,allanwebster,allan.webster@hotmail.com,07216711670,,,,2025-01-03 16:46:24,Allan Webster,allan.webster@hotmail.com,+44 7216711670,Email,Accessibility,Resolved,07:32
SUPPORT,SUP000036,,,,,SUP000036,,,,,Julie Reeves,julie.reeves@msn.com,,,,,,,juliereeves,julie.reeves@msn.com,,,,,2025-01-03 18:50:12,Julie Reeves,julie.reeves@msn.com,,Email,Enquiry,Resolved,10:29
SUPPORT,SUP000037,,,,,SUP000037,,,,,Joanne Dean,,+44 7882597693,,,,,,joannedean,,07882597693,,,,2025-01-03 20:29:04,Joanne Dean,,+44 7882597693,Phone,Refund request,Resolved,27:29
SUPPORT,SUP000038,,,,,SUP000038,,,,,Glen Ali,glen.ali2@gmail.com,,,,,,,glenali,glen.ali2@gmail.com,,,,,2025-01-03 23:03:00,Glen Ali,glen.ali2@gmail.com,,Email,Refund request,Resolved,07:52
SUPPORT,SUP000039,,,,,SUP000039,,,,,Naomi Simpson,naomi.simpson@hotmail.com,+44 7111150543,,,,,,naomisimpson,naomi.simpson@hotmail.com,07111150543,,,,2025-01-04 04:44:29,Naomi Simpson,naomi.simpson@hotmail.com,+44 7111150543,Email,Enquiry,Resolved,11:07
SUPPORT,SUP000040,,,,,SUP000040,,,,,Jacob Dickinson,jacob.dickinson@gmail.com,+44 7770732348,,,,,,jacobdickinson,jacob.dickinson@gmail.com,07770732348,,,,2025-01-04 04:54:39,Jacob Dickinson,jacob.dickinson@gmail.com,+44 7770732348,Email,Enquiry,Resolved,04:55
SUPPORT,SUP000041,,,,,SUP000041,,,,,Susan Wong,susan.wong@gmail.com,+44 7162115311,,,,,,susanwong,susan.wong@gmail.com,07162115311,,,,2025-01-04 06:33:59,Susan Wong,susan.wong@gmail.com,+44 7162115311,Phone,Complaint,Resolved,22:32
SUPPORT,SUP000042,,,,,SUP000042,,,,,Charlotte Moore,charlotte.moore@orange.fr,+44 7623351146,,,,,,charlottemoore,charlotte.moore@orange.fr,07623351146,,,,2025-01-04 09:27:08,Charlotte Moore,charlotte.moore@orange.fr,+44 7623351146,Email,Accessibility,Resolved,31:40
SUPPORT,SUP000043,,,,,SUP000043,,,,,Alexandra Walker,alexandra.walker@yahoo.com,+44 7668248051,,,,,,alexandrawalker,alexandra.walker@yahoo.com,07668248051,,,,2025-01-04 12:05:04,Alexandra Walker,alexandra.walker@yahoo.com,+44 7668248051,Email,Refund request,Open,
SUPPORT,SUP000044,,,,,SUP000044,,,,,Josh Matthews,josh.matthews@hotmail.com,+44 7506988216,,,,,,joshmatthews,josh.matthews@hotmail.com,07506988216,,,,2025-01-04 18:13:30,Josh Matthews,josh.matthews@hotmail.com,+44 7506988216,Email,Complaint,Resolved,12:18
SUPPORT,SUP000045,,,,,SUP000045,,,,,Melissa Spencer,melissa.spencer@hotmail.com,+44 7332466477,,,,,,melissaspencer,melissa.spencer@hotmail.com,07332466477,,,,2025-01-04 19:14:25,Melissa Spencer,melissa.spencer@hotmail.com,+44 7332466477,Email,Complaint,Open,
SUPPORT,SUP000046,,,,,SUP000046,,,,,Christine Dodd,christine.dodd@hotmail.com,+44 7417413260,,,,,,christinedodd,christine.dodd@hotmail.com,07417413260,,,,2025-01-04 23:02:10,Christine Dodd,christine.dodd@hotmail.com,+44 7417413260,Email,Enquiry,Resolved,02:51
SUPPORT,SUP000047,,,,,SUP000047,,,,,Kevin Akhtar,kevin.akhtar@gmail.com,+44 7005609381,,,,,,kevinakhtar,kevin.akhtar@gmail.com,07005609381,,,,2025-01-05 04:30:56,Kevin Akhtar,kevin.akhtar@gmail.com,+44 7005609381,Email,Enquiry,Resolved,00:45
SUPPORT,SUP000048,,,,,SUP000048,,,,,Brandon Greenwood,brandon.greenwood@hotmail.com,+44 7139698790,,,,,,brandongreenwood,brandon.greenwood@hotmail.com,07139698790,,,,2025-01-05 08:27:00,Brandon Greenwood,brandon.greenwood@hotmail.com,+44 7139698790,Email,Enquiry,Resolved,06:05
SUPPORT,SUP000049,,,,,SUP000049,,,,,Jill Smiht,jill.smith@hotmail.com,,,,,,,jillsmiht,jill.smith@hotmail.com,,,,,2025-01-05 10:02:50,Jill Smiht,jill.smith@hotmail.com,,Email,Enquiry,Resolved,05:10
SUPPORT,SUP000050,,,,,SUP000050,,,,,Toby Wong,toby.wong@gmail.com,,,,,,,tobywong,toby.wong@gmail.com,,,,,2025-01-05 11:39:30,Toby Wong,toby.wong@gmail.com,,Email,Complaint,Resolved,12:48
SUPPORT,SUP000051,,,,,SUP000051,,,,,Stacey Taylor,stacey.taylor@hotmail.com,,,,,,,staceytaylor,stacey.taylor@hotmail.com,,,,,2025-01-05 11:53:46,Stacey Taylor,stacey.taylor@hotmail.com,,Email,Accessibility,Resolved,05:27
SUPPORT,SUP000052,,,,,SUP000052,,,,,Katherine Welch,katherine.welch@aol.com,+44 7141947530,,,,,,katherinewelch,katherine.welch@aol.com,07141947530,,,,2025-01-05 14:03:21,Katherine Welch,katherine.welch@aol.com,+44 7141947530,Email,Refund request,Resolved,02:00
SUPPORT,SUP000053,,,,,SUP000053,,,,,Denise Jordan,denise.jordan@hotmail.com,+44 7536273984,,,,,,denisejordan,denise.jordan@hotmail.com,07536273984,,,,2025-01-05 14:52:55,Denise Jordan,denise.jordan@hotmail.com,+44 7536273984,Email,Refund request,Open,
SUPPORT,SUP000054,,,,,SUP000054,,,,,Natasha Chapman,,+44 7038125439,,,,,,natashachapman,,07038125439,,,,2025-01-05 15:14:51,Natasha Chapman,,+44 7038125439,Phone,Enquiry,Open,
SUPPORT,SUP000055,,,,,SUP000055,,,,,Linda Watson,linda.watson@aol.com,,,,,,,lindawatson,linda.watson@aol.com,,,,,2025-01-05 16:52:08,Linda Watson,linda.watson@aol.com,,Email,Complaint,Resolved,13:43
SUPPORT,SUP000056,,,,,SUP000056,,,,,Gerard Robson,egrard.robson@gmail.com,+44 7944022007,,,,,,gerardrobson,egrard.robson@gmail.com,07944022007,,,,2025-01-05 18:14:14,Gerard Robson,egrard.robson@gmail.com,+44 7944022007,Email,Complaint,Resolved,04:34
SUPPORT,SUP000057,,,,,SUP000057,,,,,Janice Roberts,janice.roberts@hotmail.com,+44 7730534585,,,,,,janiceroberts,janice.roberts@hotmail.com,07730534585,,,,2025-01-05 21:20:44,Janice Roberts,janice.roberts@hotmail.com,+44 7730534585,Email,Refund request,Open,
SUPPORT,SUP000058,,,,,SUP000058,,,,,Joanne Brady,joanne.brady@yahoo.com,+44 7101676583,,,,,,joannebrady,joanne.brady@yahoo.com,07101676583,,,,2025-01-05 22:59:48,Joanne Brady,joanne.brady@yahoo.com,+44 7101676583,Email,Enquiry,Resolved,05:06
SUPPORT,SUP000059,,,,,SUP000059,,,,,Kathryn Henderson,kathryn.henderson@yahoo.com,+44 7951999532,,,,,,kathrynhenderson,kathryn.henderson@yahoo.com,07951999532,,,,2025-01-05 23:02:42,Kathryn Henderson,kathryn.henderson@yahoo.com,+44 7951999532,Phone,Complaint,Resolved,72:00
SUPPORT,SUP000060,,,,,SUP000060,,,,,Alice Hill,alice.hill@orange.fr,+44 7659305904,,,,,,alicehill,alice.hill@orange.fr,07659305904,,,,2025-01-06 00:03:26,Alice Hill,alice.hill@orange.fr,+44 7659305904,Email,Refund request,Resolved,20:32
SUPPORT,SUP000061,,,,,SUP000061,,,,,Sam Arnold,sam.arnold@hotmail.com,,,,,,,samarnold,sam.arnold@hotmail.com,,,,,2025-01-06 01:09:50,Sam Arnold,sam.arnold@hotmail.com,,Email,Enquiry,Resolved,02:59
SUPPORT,SUP000062,,,,,SUP000062,,,,,Alison Baker,alison.baker@yahoo.com,,,,,,,alisonbaker,alison.baker@yahoo.com,,,,,2025-01-06 04:00:00,Alison Baker,alison.baker@yahoo.com,,Email,Complaint,Resolved,30:08
SUPPORT,SUP000063,,,,,SUP000063,,,,,Glenn Faulkner,glenn.faulkner@gmail.com,+44 7045414070,,,,,,glennfaulkner,glenn.faulkner@gmail.com,07045414070,,,,2025-01-06 04:40:48,Glenn Faulkner,glenn.faulkner@gmail.com,+44 7045414070,Phone,Enquiry,Resolved,02:25
SUPPORT,SUP000064,,,,,SUP000064,,,,,Sheila Kelly,sheila.kelly@yahoo.com,+44 7830004825,,,,,,sheilakelly,sheila.kelly@yahoo.com,07830004825,,,,2025-01-06 10:36:25,Sheila Kelly,sheila.kelly@yahoo.com,+44 7830004825,Email,Refund request,Resolved,21:18
SUPPORT,SUP000065,,,,,SUP000065,,,,,Frederick Griffiths,federick.griffiths@yahoo.com,+44 7088961660,,,,,,frederickgriffiths,federick.griffiths@yahoo.com,07088961660,,,,2025-01-06 13:21:23,Frederick Griffiths,federick.griffiths@yahoo.com,+44 7088961660,Email,Enquiry,Resolved,04:34
SUPPORT,SUP000066,,,,,SUP000066,,,,,Diane Slater,diane.slater@gmail.com,,,,,,,dianeslater,diane.slater@gmail.com,,,,,2025-01-06 14:42:40,Diane Slater,diane.slater@gmail.com,,Email,Enquiry,Resolved,10:50
SUPPORT,SUP000067,,,,,SUP000067,,,,,Shirley Lewis,shirley.lewis@hotmail.com,+44 7957976875,,,,,,shirleylewis,shirley.lewis@hotmail.com,07957976875,,,,2025-01-06 15:23:17,Shirley Lewis,shirley.lewis@hotmail.com,+44 7957976875,Phone,Refund request,Resolved,16:19
SUPPORT,SUP000068,,,,,SUP000068,,,,,Andrea Anderson,andrea.anderson@hotmail.com,,,,,,,andreaanderson,andrea.anderson@hotmail.com,,,,,2025-01-06 16:30:56,Andrea Anderson,andrea.anderson@hotmail.com,,Email,Accessibility,Resolved,15:18
SUPPORT,SUP000069,,,,,SUP000069,,,,,Alison Boyle,alison.boyle@hotmail.com,+44 7118386063,,,,,,alisonboyle,alison.boyle@hotmail.com,07118386063,,,,2025-01-06 17:22:48,Alison Boyle,alison.boyle@hotmail.com,+44 7118386063,Email,Refund request,Resolved,32:16
SUPPORT,SUP000070,,,,,SUP000070,,,,,Ben Evans,ben.evans@gmail.com,+44 7818548881,,,,,,benevans,ben.evans@gmail.com,07818548881,,,,2025-01-06 19:48:15,Ben Evans,ben.evans@gmail.com,+44 7818548881,Phone,Accessibility,Resolved,02:58
SUPPORT,SUP000071,,,,,SUP000071,,,,,Samantha Ryan,samantha.ryan@yahoo.fr,+44 7007584297,,,,,,samantharyan,samantha.ryan@yahoo.fr,07007584297,,,,2025-01-07 00:16:44,Samantha Ryan,samantha.ryan@yahoo.fr,+44 7007584297,Phone,Complaint,Open,
SUPPORT,SUP000072,,,,,SUP000072,,,,,George Walker,george.walker@hotmail.co.uk,+44 7267008272,,,,,,georgewalker,george.walker@hotmail.co.uk,07267008272,,,,2025-01-07 02:07:37,George Walker,george.walker@hotmail.co.uk,+44 7267008272,Phone,Accessibility,Resolved,03:53
SUPPORT,SUP000073,,,,,SUP000073,,,,,Darren Kemp,darren.kemp@hotmail.com,+44 7021087306,,,,,,darrenkemp,darren.kemp@hotmail.com,07021087306,,,,2025-01-07 03:33:14,Darren Kemp,darren.kemp@hotmail.com,+44 7021087306,Phone,Complaint,Open,
SUPPORT,SUP000074,,,,,SUP000074,,,,,Gareth Stephenson,gareth.stephenson@hotmail.com,+44 7126060858,,,,,,garethstephenson,gareth.stephenson@hotmail.com,07126060858,,,,2025-01-07 03:51:18,Gareth Stephenson,gareth.stephenson@hotmail.com,+44 7126060858,Email,Accessibility,Open,
SUPPORT,SUP000075,,,,,SUP000075,,,,,Amelia Day,amelia.day@yahoo.com,+44 7958066067,,,,,,ameliaday,amelia.day@yahoo.com,07958066067,,,,2025-01-07 04:33:39,Amelia Day,amelia.day@yahoo.com,+44 7958066067,Phone,Accessibility,Resolved,16:06
SUPPORT,SUP000076,,,,,SUP000076,,,,,Jordan Gibbs,jordan.gibbs@aol.com,,,,,,,jordangibbs,jordan.gibbs@aol.com,,,,,2025-01-07 06:08:20,Jordan Gibbs,jordan.gibbs@aol.com,,Email,Enquiry,Open,
SUPPORT,SUP000077,,,,,SUP000077,,,,,Catherine Barker,catherine.barker@hotmail.com,+44 7786804093,,,,,,catherinebarker,catherine.barker@hotmail.com,07786804093,,,,2025-01-07 18:06:55,Catherine Barker,catherine.barker@hotmail.com,+44 7786804093,Phone,Accessibility,Resolved,01:16
SUPPORT,SUP000078,,,,,SUP000078,,,,,Jayne Shepherd,jayne.shepherd@hotmail.com,+44 7027046432,,,,,,jayneshepherd,jayne.shepherd@hotmail.com,07027046432,,,,2025-01-07 19:26:54,Jayne Shepherd,jayne.shepherd@hotmail.com,+44 7027046432,Email,Refund request,Resolved,10:19
SUPPORT,SUP000079,,,,,SUP000079,,,,,Gavin Nelson,gavin.nelson@hotmail.com,+44 7390069567,,,,,,gavinnelson,gavin.nelson@hotmail.com,07390069567,,,,2025-01-07 22:55:36,Gavin Nelson,gavin.nelson@hotmail.com,+44 7390069567,Email,Complaint,Resolved,04:26
SUPPORT,SUP000080,,,,,SUP000080,,,,,Hollie Elliott,hollie.elliott@hotmail.com,+44 7185184620,,,,,,hollieelliott,hollie.elliott@hotmail.com,07185184620,,,,2025-01-08 00:45:05,Hollie Elliott,hollie.elliott@hotmail.com,+44 7185184620,Email,Accessibility,Resolved,15:20
SUPPORT,SUP000081,,,,,SUP000081,,,,,Ben Dale,ben.dale@hotmail.com,+44 7402904280,,,,,,bendale,ben.dale@hotmail.com,07402904280,,,,2025-01-08 01:02:22,Ben Dale,ben.dale@hotmail.com,+44 7402904280,Phone,Enquiry,Open,
SUPPORT,SUP000082,,,,,SUP000082,,,,,Owen Davies,owen.davies@aol.com,+44 7349587724,,,,,,owendavies,owen.davies@aol.com,07349587724,,,,2025-01-08 04:48:27,Owen Davies,owen.davies@aol.com,+44 7349587724,Phone,Complaint,Resolved,15:02
SUPPORT,SUP000083,,,,,SUP000083,,,,,Elaine Campbell,elaine.campbell@yahoo.com,+44 7476511219,,,,,,elainecampbell,elaine.campbell@yahoo.com,07476511219,,,,2025-01-08 06:45:48,Elaine Campbell,elaine.campbell@yahoo.com,+44 7476511219,Email,Refund request,Resolved,15:42
SUPPORT,SUP000084,,,,,SUP000084,,,,,Clare Evans,clare.evans@gmail.com,+44 7913313044,,,,,,clareevans,clare.evans@gmail.com,07913313044,,,,2025-01-08 09:53:25,Clare Evans,clare.evans@gmail.com,+44 7913313044,Email,Enquiry,Resolved,08:14
SUPPORT,SUP000085,,,,,SUP000085,,,,,Josh Matthews,josh.matthews@hotmail.com,+44 7506988219,,,,,,joshmatthews,josh.matthews@hotmail.com,07506988219,,,,2025-01-08 11:18:26,Josh Matthews,josh.matthews@hotmail.com,+44 7506988219,Email,Refund request,Resolved,10:24
SUPPORT,SUP000086,,,,,SUP000086,,,,,Kathryn Cole,katrhyn.cole@hotmail.com,+44 7923985482,,,,,,kathryncole,katrhyn.cole@hotmail.com,07923985482,,,,2025-01-08 11:29:51,Kathryn Cole,katrhyn.cole@hotmail.com,+44 7923985482,Phone,Enquiry,Resolved,02:11
SUPPORT,SUP000087,,,,,SUP000087,,,,,Sarah Vincent,sarah.vnicent@hotmail.com,+44 7742586794,,,,,,sarahvincent,sarah.vnicent@hotmail.com,07742586794,,,,2025-01-08 12:50:46,Sarah Vincent,sarah.vnicent@hotmail.com,+44 7742586794,Email,Enquiry,Resolved,03:32
SUPPORT,SUP000088,,,,,SUP000088,,,,,Angela Cook,angela.cook@hotmail.com,+44 7872256618,,,,,,angelacook,angela.cook@hotmail.com,07872256618,,,,2025-01-08 16:31:37,Angela Cook,angela.cook@hotmail.com,+44 7872256618,Email,Enquiry,Resolved,02:02
SUPPORT,SUP000089,,,,,SUP000089,,,,,Samantha Matthews,samantha.matthews@hotmail.com,+44 7017646240,,,,,,samanthamatthews,samantha.matthews@hotmail.com,07017646240,,,,2025-01-08 16:55:34,Samantha Matthews,samantha.matthews@hotmail.com,+44 7017646240,Email,Enquiry,Resolved,04:03
SUPPORT,SUP000090,,,,,SUP000090,,,,,James Barnett,james.barnett@hotmail.com,+44 7085339159,,,,,,jamesbarnett,james.barnett@hotmail.com,07085339159,,,,2025-01-08 22:17:50,James Barnett,james.barnett@hotmail.com,+44 7085339159,Phone,Refund request,Resolved,39:04
SUPPORT,SUP000091,,,,,SUP000091,,,,,Stacey Curtis,stacey.curtis@gmail.com,+44 7751118992,,,,,,staceycurtis,stacey.curtis@gmail.com,07751118992,,,,2025-01-08 23:07:27,Stacey Curtis,stacey.curtis@gmail.com,+44 7751118992,Email,Refund request,Open,
SUPPORT,SUP000092,,,,,SUP000092,,,,,Clifford Bennett,,+44 7826169049,,,,,,cliffordbennett,,07826169049,,,,2025-01-09 02:51:44,Clifford Bennett,,+44 7826169049,Phone,Enquiry,Open,
