source_system,source_record_id,crm_customer_id,transaction_id,marketing_contact_id,session_id,support_ticket_id,portal_user_id,linked_transaction_id,first_name_raw,surname_raw,full_name_raw,email_raw,phone_raw,address_raw,postcode_raw,date_of_birth_raw,first_name_normalised,surname_normalised,full_name_normalised,email_normalised,phone_normalised,address_normalised,postcode_normalised,date_of_birth_normalised,contact_name,last_contact_date,consent_status,emails_opened_count,links_clicked_count,email,postcode
MARKETING,MKT000031,,,MKT000031,,,,,,,Julian_Wilson,julian.wilson@hotmail.com,,,SA1 1ND,,,,julianwilson,julian.wilson@hotmail.com,,,SA11ND,,Julian_Wilson,2025-01-02,False,3,0,julian.wilson@hotmail.com,SA1 1ND
MARKETING,MKT000032,,,MKT000032,,,,,,,Bryan_Singh,bryan.singh@gmail.com,,,YO1 5GJ,,,,bryansingh,bryan.singh@gmail.com,,,YO15GJ,,Bryan_Singh,2025-01-02,False,6,1,bryan.singh@gmail.com,YO1 5GJ
MARKETING,MKT000033,,,MKT000033,,,,,,,Clifford_Burke,clifford.burke@yahoo.com,,,CB1 4VT,,,,cliffordburke,clifford.burke@yahoo.com,,,CB14VT,,Clifford_Burke,2025-01-02,False,5,0,clifford.burke@yahoo.com,CB1 4VT
MARKETING,MKT000034,,,MKT000034,,,,,,,Megan_Harvey,megan.harvey@gmail.com,,,BT34 9PB,,,,meganharvey,megan.harvey@gmail.com,,,BT349PB,,Megan_Harvey,2025-01-02,False,7,3,megan.harvey@gmail.com,BT34 9PB
MARKETING,MKT000035,,,MKT000035,,,,,,,Rita_Jones,rita.jones@yahoo.com,,,CA1 8EB,,,,ritajones,rita.jones@yahoo.com,,,CA18EB,,Rita_Jones,2025-01-02,True,7,2,rita.jones@yahoo.com,CA1 8EB
MARKETING,MKT000036,,,MKT000036,,,,,,,Sara_Parkinson,sara.parkinson@yahoo.com,,,CH1 7BG,,,,saraparkinson,sara.parkinson@yahoo.com,,,CH17BG,,Sara_Parkinson,2025-01-02,True,10,1,sara.parkinson@yahoo.com,CH1 7BG
MARKETING,MKT000037,,,MKT000037,,,,,,,Reebcca_Harris,rebecca.harris@gmail.com,,,B1 5NN,,,,reebccaharris,rebecca.harris@gmail.com,,,B15NN,,Reebcca_Harris,2025-01-02,True,10,3,rebecca.harris@gmail.com,B1 5NN
MARKETING,MKT000038,,,MKT000038,,,,,,,Judith_Roberts,judith.roberts@wanadoo.fr,,,AB10 2ZJ,,,,judithroberts,judith.roberts@wanadoo.fr,,,AB102ZJ,,Judith_Roberts,2025-01-02,True,5,2,judith.roberts@wanadoo.fr,AB10 2ZJ
MARKETING,MKT000039,,,MKT000039,,,,,,,Lynda_Reed,lynda.reed@msn.com,,,DE1 4FQ,,,,lyndareed,lynda.reed@msn.com,,,DE14FQ,,Lynda_Reed,2025-01-02,False,4,0,lynda.reed@msn.com,DE1 4FQ
MARKETING,MKT000040,,,MKT000040,,,,,,,Samantha_Preston,samantha.preston@hotmail.com,,,CM1 2JO,,,,samanthapreston,samantha.preston@hotmail.com,,,CM12JO,,Samantha_Preston,2025-01-02,False,7,2,samantha.preston@hotmail.com,CM1 2JO
MARKETING,MKT000041,,,MKT000041,,,,,,,yRan_O'Brien,ryan.obrien@hotmail.com,,,LS1 6DB,,,,yranobrien,ryan.obrien@hotmail.com,,,LS16DB,,yRan_O'Brien,2025-01-02,True,5,2,ryan.obrien@hotmail.com,LS1 6DB
MARKETING,MKT000042,,,MKT000042,,,,,,,Joseph_Lewis,joseph.lewis@yahoo.com,,,CA1 1GH,,,,josephlewis,joseph.lewis@yahoo.com,,,CA11GH,,Joseph_Lewis,2025-01-02,True,4,0,joseph.lewis@yahoo.com,CA1 1GH
MARKETING,MKT000043,,,MKT000043,,,,,,,Stuart_Martin,stuart.martin@yahoo.com,,,CB1 9SN,,,,stuartmartin,stuart.martin@yahoo.com,,,CB19SN,,Stuart_Martin,2025-01-02,False,11,1,stuart.martin@yahoo.com,CB1 9SN
MARKETING,MKT000044,,,MKT000044,,,,,,,Kevin_Jones,kevin.jones@hotmail.com,,,BA1 0VP,,,,kevinjones,kevin.jones@hotmail.com,,,BA10VP,,Kevin_Jones,2025-01-02,True,5,1,kevin.jones@hotmail.com,BA1 0VP
MARKETING,MKT000045,,,MKT000045,,,,,,,Maurice_Pratt,maurice.pratt@yahoo.com,,,PR1 6WO,,,,mauricepratt,maurice.pratt@yahoo.com,,,PR16WO,,Maurice_Pratt,2025-01-02,True,7,0,maurice.pratt@yahoo.com,PR1 6WO
MARKETING,MKT000046,,,MKT000046,,,,,,,Maria_Bolton,mariabolton22@hotmail.com,,,CH1 1FY,,,,mariabolton,mariabolton22@hotmail.com,,,CH11FY,,Maria_Bolton,2025-01-02,True,6,1,mariabolton22@hotmail.com,CH1 1FY
MARKETING,MKT000047,,,MKT000047,,,,,,,Aaron_Brady,aaron.brady@orange.fr,,,GU1 9AX,,,,aaronbrady,aaron.brady@orange.fr,,,GU19AX,,Aaron_Brady,2025-01-02,True,11,3,aaron.brady@orange.fr,GU1 9AX
MARKETING,MKT000048,,,MKT000048,,,,,,,Lynda_Turner,lynda.turner@gmail.com,,,WR1 9HZ,,,,lyndaturner,lynda.turner@gmail.com,,,WR19HZ,,Lynda_Turner,2025-01-02,True,8,1,lynda.turner@gmail.com,WR1 9HZ
MARKETING,MKT000049,,,MKT000049,,,,,,,Jason_Williams,jason.williams@gmail.com,,,CF10 4XQ,,,,jasonwilliams,jason.williams@gmail.com,,,CF104XQ,,Jason_Williams,2025-01-03,False,6,1,jason.williams@gmail.com,CF10 4XQ
MARKETING,MKT000050,,,MKT000050,,,,,,,Aimee_Cunningham,aimee.cunningham@hotmail.com,,,G1 4EC,,,,aimeecunningham,aimee.cunningham@hotmail.com,,,G14EC,,Aimee_Cunningham,2025-01-03,False,10,4,aimee.cunningham@hotmail.com,G1 4EC
MARKETING,MKT000051,,,MKT000051,,,,,,,Holly_Evans,holly.evans@yahoo.com,,,SE1 4RZ,,,,hollyevans,holly.evans@yahoo.com,,,SE14RZ,,Holly_Evans,2025-01-03,True,9,1,holly.evans@yahoo.com,SE1 4RZ
MARKETING,MKT000052,,,MKT000052,,,,,,,Derek_Henderson,derek.henderson@hotmail.com,,,EX1 3KJ,,,,derekhenderson,derek.henderson@hotmail.com,,,EX13KJ,,Derek_Henderson,2025-01-03,False,4,0,derek.henderson@hotmail.com,EX1 3KJ
MARKETING,MKT000053,,,MKT000053,,,,,,,Mohammed_Patel,mohammed.patel@hotmail.com,,,SY23 9QT,,,,mohammedpatel,mohammed.patel@hotmail.com,,,SY239QT,,Mohammed_Patel,2025-01-03,True,11,0,mohammed.patel@hotmail.com,SY23 9QT
MARKETING,MKT000054,,,MKT000054,,,,,,,Jake_Jenkins,jake.jenkins@yahoo.com,,,E1 9TY,,,,jakejenkins,jake.jenkins@yahoo.com,,,E19TY,,Jake_Jenkins,2025-01-03,True,8,4,jake.jenkins@yahoo.com,E1 9TY
MARKETING,MKT000055,,,MKT000055,,,,,,,Mathew_Wilson,mathew.wilson@yahoo.com,,,DE1 1PV,,,,mathewwilson,mathew.wilson@yahoo.com,,,DE11PV,,Mathew_Wilson,2025-01-03,True,10,5,mathew.wilson@yahoo.com,DE1 1PV
MARKETING,MKT000056,,,MKT000056,,,,,,,Tracy_Jackson,tracy.jackson@aol.com,,,CB1 8FA,,,,tracyjackson,tracy.jackson@aol.com,,,CB18FA,,Tracy_Jackson,2025-01-03,False,4,1,tracy.jackson@aol.com,CB1 8FA
MARKETING,MKT000057,,,MKT000057,,,,,,,Victor_Brady,victor.brady@msn.com,,,E1 8XN,,,,victorbrady,victor.brady@msn.com,,,E18XN,,Victor_Brady,2025-01-03,True,6,2,victor.brady@msn.com,E1 8XN
MARKETING,MKT000058,,,MKT000058,,,,,,,Bernard_Day,bernard.day@gmail.com,,,CV1 1MD,,,,bernardday,bernard.day@gmail.com,,,CV11MD,,Bernard_Day,2025-01-03,True,5,3,bernard.day@gmail.com,CV1 1MD
MARKETING,MKT000059,,,MKT000059,,,,,,,Margaret_Bird,margaret.bird@gmail.com,,,WV1 7HM,,,,margaretbird,margaret.bird@gmail.com,,,WV17HM,,Margaret_Bird,2025-01-03,True,4,2,margaret.bird@gmail.com,WV1 7HM
MARKETING,MKT000060,,,MKT000060,,,,,,,Claire_Adams,claire.adams@gmail.com,,,IP1 1FN,,,,claireadams,claire.adams@gmail.com,,,IP11FN,,Claire_Adams,2025-01-03,True,6,2,claire.adams@gmail.com,IP1 1FN
MARKETING,MKT000061,,,MKT000061,,,,,,,Reece_Kaur,reece.kaur@gmail.com,,,NR1 0FS,,,,reecekaur,reece.kaur@gmail.com,,,NR10FS,,Reece_Kaur,2025-01-03,True,8,6,reece.kaur@gmail.com,NR1 0FS
MARKETING,MKT000062,,,MKT000062,,,,,,,,hugh.lee@yahoo.com,,,GL1 5PL,,,,,hugh.lee@yahoo.com,,,GL15PL,,,2025-01-03,False,7,1,hugh.lee@yahoo.com,GL1 5PL
MARKETING,MKT000063,,,MKT000063,,,,,,,Rhys_Barber,rhys.barber@gmail.com,,,SO14 7HI,,,,rhysbarber,rhys.barber@gmail.com,,,SO147HI,,Rhys_Barber,2025-01-03,False,1,0,rhys.barber@gmail.com,SO14 7HI
MARKETING,MKT000064,,,MKT000064,,,,,,,Hazel_Gilbert,hazel.gilbert@gmail.com,,,DL1 1OL,,,,hazelgilbert,hazel.gilbert@gmail.com,,,DL11OL,,Hazel_Gilbert,2025-01-03,True,5,0,hazel.gilbert@gmail.com,DL1 1OL
MARKETING,MKT000065,,,MKT000065,,,,,,,Nathan_Dean,nathan.dean@yahoo.com,,,HU1 3VL,,,,nathandean,nathan.dean@yahoo.com,,,HU13VL,,Nathan_Dean,2025-01-04,False,7,0,nathan.dean@yahoo.com,HU1 3VL
MARKETING,MKT000066,,,MKT000066,,,,,,,Nicole_Jones,nicole.jones@hotmail.com,,,BT48 4SO,,,,nicolejones,nicole.jones@hotmail.com,,,BT484SO,,Nicole_Jones,2025-01-04,False,3,1,nicole.jones@hotmail.com,BT48 4SO
MARKETING,MKT000067,,,MKT000067,,,,,,,Lee_Holland,lee.holland@hotmail.com,,,LL57 7LU,,,,leeholland,lee.holland@hotmail.com,,,LL577LU,,Lee_Holland,2025-01-04,True,7,2,lee.holland@hotmail.com,LL57 7LU
MARKETING,MKT000068,,,MKT000068,,,,,,,Martyn_Lee,martyn.lee@yahoo.com,,,E1 2QQ,,,,martynlee,martyn.lee@yahoo.com,,,E12QQ,,Martyn_Lee,2025-01-04,True,6,1,martyn.lee@yahoo.com,E1 2QQ
MARKETING,MKT000069,,,MKT000069,,,,,,,Rosemary_Dixon,rosemary.dixon@gmail.com,,,BN1 6ZE,,,,rosemarydixon,rosemary.dixon@gmail.com,,,BN16ZE,,Rosemary_Dixon,2025-01-04,True,9,0,rosemary.dixon@gmail.com,BN1 6ZE
MARKETING,MKT000070,,,MKT000070,,,,,,,Denise_Dale,denise.dale@wanadoo.fr,,,NW1 7PN,,,,denisedale,denise.dale@wanadoo.fr,,,NW17PN,,Denise_Dale,2025-01-04,True,8,3,denise.dale@wanadoo.fr,NW1 7PN
MARKETING,MKT000071,,,MKT000071,,,,,,,Sally_Moore,sally.moore@yahoo.com,,,PR1 6FW,,,,sallymoore,sally.moore@yahoo.com,,,PR16FW,,Sally_Moore,2025-01-04,False,7,1,sally.moore@yahoo.com,PR1 6FW
MARKETING,MKT000072,,,MKT000072,,,,,,,Fiona_Thomas,fiona.thomas@gmail.com,,,CA1 8ZQ,,,,fionathomas,fiona.thomas@gmail.com,,,CA18ZQ,,Fiona_Thomas,2025-01-04,True,8,1,fiona.thomas@gmail.com,CA1 8ZQ
MARKETING,MKT000073,,,MKT000073,,,,,,,Leah_Anderson,leah.anderson@yahoo.com,,,SA1 2YH,,,,leahanderson,leah.anderson@yahoo.com,,,SA12YH,,Leah_Anderson,2025-01-04,True,3,0,leah.anderson@yahoo.com,SA1 2YH
MARKETING,MKT000074,,,MKT000074,,,,,,,Bruce_Wright,bruce.wright@gmail.com,,,NP20 3VD,,,,brucewright,bruce.wright@gmail.com,,,NP203VD,,Bruce_Wright,2025-01-04,False,16,6,bruce.wright@gmail.com,NP20 3VD
MARKETING,MKT000075,,,MKT000075,,,,,,,Eric_Dawsn,eric.dawson@hotmail.com,,,WR1 6FQ,,,,ericdawsn,eric.dawson@hotmail.com,,,WR16FQ,,Eric_Dawsn,2025-01-04,True,6,1,eric.dawson@hotmail.com,WR1 6FQ
MARKETING,MKT000076,,,MKT000076,,,,,,,Donald_Gardner,donald.gardner@hotmail.com,,,S1 7HE,,,,donaldgardner,donald.gardner@hotmail.com,,,S17HE,,Donald_Gardner,2025-01-04,False,3,1,donald.gardner@hotmail.com,S1 7HE
MARKETING,MKT000077,,,MKT000077,,,,,,,Max_Moore,max.moore@hotmail.com,,,IV1 3CS,,,,maxmoore,max.moore@hotmail.com,,,IV13CS,,Max_Moore,2025-01-04,True,5,1,max.moore@hotmail.com,IV1 3CS
MARKETING,MKT000078,,,MKT000078,,,,,,,,zoe.evans@gmail.com,,,S1 2AY,,,,,zoe.evans@gmail.com,,,S12AY,,,2025-01-04,True,4,0,zoe.evans@gmail.com,S1 2AY
MARKETING,MKT000079,,,MKT000079,,,,,,,Connor_White,connor.white@yahoo.com,,,IP1 6GM,,,,connorwhite,connor.white@yahoo.com,,,IP16GM,,Connor_White,2025-01-04,True,9,2,connor.white@yahoo.com,IP1 6GM
MARKETING,MKT000080,,,MKT000080,,,,,,,Katy_Shaw,katy.shaw@gmail.com,,,CA1 2KO,,,,katyshaw,katy.shaw@gmail.com,,,CA12KO,,Katy_Shaw,2025-01-04,True,8,1,katy.shaw@gmail.com,CA1 2KO
MARKETING,MKT000081,,,MKT000081,,,,,,,Jamie_Hodgson,jamie.hodgson@hotmail.com,,,SO14 1HP,,,,jamiehodgson,jamie.hodgson@hotmail.com,,,SO141HP,,Jamie_Hodgson,2025-01-04,False,4,1,jamie.hodgson@hotmail.com,SO14 1HP
MARKETING,MKT000082,,,MKT000082,,,,,,,Frank_Williamson,fwilliamson22@orange.fr,,,B1 1JP,,,,frankwilliamson,fwilliamson22@orange.fr,,,B11JP,,Frank_Williamson,2025-01-04,False,6,1,fwilliamson22@orange.fr,B1 1JP
MARKETING,MKT000083,,,MKT000083,,,,,,,Alexandra_Wilson,alexandra.wilson@yahoo.com,,,IP1 9EG,,,,alexandrawilson,alexandra.wilson@yahoo.com,,,IP19EG,,Alexandra_Wilson,2025-01-04,True,4,1,alexandra.wilson@yahoo.com,IP1 9EG
MARKETING,MKT000084,,,MKT000084,,,,,,,Bernard_Knihgt,bernard.knight@gmail.com,,,B1 9DE,,,,bernardknihgt,bernard.knight@gmail.com,,,B19DE,,Bernard_Knihgt,2025-01-04,False,4,0,bernard.knight@gmail.com,B1 9DE
MARKETING,MKT000085,,,MKT000085,,,,,,,Cliford_Walters,cwalters24@msn.com,,,BT34 0EO,,,,clifordwalters,cwalters24@msn.com,,,BT340EO,,Cliford_Walters,2025-01-04,True,11,1,cwalters24@msn.com,BT34 0EO
MARKETING,MKT000086,,,MKT000086,,,,,,,Lauren_rBown,lauren.brown@hotmail.com,,,BA1 0WZ,,,,laurenrbown,lauren.brown@hotmail.com,,,BA10WZ,,Lauren_rBown,2025-01-04,False,7,5,lauren.brown@hotmail.com,BA1 0WZ
MARKETING,MKT000087,,,MKT000087,,,,,,,Hollie_Gill,hollie.gill@yahoo.com,,,EH1 4XQ,,,,holliegill,hollie.gill@yahoo.com,,,EH14XQ,,Hollie_Gill,2025-01-04,True,10,5,hollie.gill@yahoo.com,EH1 4XQ
MARKETING,MKT000088,,,MKT000088,,,,,,,Gary_Quinn,gary.quinn@aol.com,,,WR1 3AX,,,,garyquinn,gary.quinn@aol.com,,,WR13AX,,Gary_Quinn,2025-01-04,True,5,2,gary.quinn@aol.com,WR1 3AX
MARKETING,MKT000089,,,MKT000089,,,,,,,Margaret_Mills,margaret.mills@gmail.com,,,SE1 4MM,,,,margaretmills,margaret.mills@gmail.com,,,SE14MM,,Margaret_Mills,2025-01-04,True,10,3,margaret.mills@gmail.com,SE1 4MM
MARKETING,MKT000090,,,MKT000090,,,,,,,Louis_Day,louis.day@gmail.com,,,L1 7BK,,,,louisday,louis.day@gmail.com,,,L17BK,,Louis_Day,2025-01-05,True,6,1,louis.day@gmail.com,L1 7BK
MARKETING,MKT000091,,,MKT000091,,,,,,,Elliott_Taylor,elliott.taylor@gmail.com,,,G1 3QD,,,,elliotttaylor,elliott.taylor@gmail.com,,,G13QD,,Elliott_Taylor,2025-01-05,True,5,2,elliott.taylor@gmail.com,G1 3QD
MARKETING,MKT000092,,,MKT000092,,,,,,,Gareth_Walker,gareth.walker@msn.com,,,SA1 3DU,,,,garethwalker,gareth.walker@msn.com,,,SA13DU,,Gareth_Walker,2025-01-05,True,6,1,gareth.walker@msn.com,SA1 3DU
MARKETING,MKT000093,,,MKT000093,,,,,,,Elliott_Jackson,elliott.jackson@gmail.com,,,CH1 5LP,,,,elliottjackson,elliott.jackson@gmail.com,,,CH15LP,,Elliott_Jackson,2025-01-05,True,9,4,elliott.jackson@gmail.com,CH1 5LP
MARKETING,MKT000094,,,MKT000094,,,,,,,Carly_Davies,carly.davies2@hotmail.com,,,PH1 2GN,,,,carlydavies,carly.davies2@hotmail.com,,,PH12GN,,Carly_Davies,2025-01-05,True,11,3,carly.davies2@hotmail.com,PH1 2GN
MARKETING,MKT000095,,,MKT000095,,,,,,,Hilary_Williams,hilary.williams@aol.com,,,NE1 2QO,,,,hilarywilliams,hilary.williams@aol.com,,,NE12QO,,Hilary_Williams,2025-01-05,True,9,4,hilary.williams@aol.com,NE1 2QO
MARKETING,MKT000096,,,MKT000096,,,,,,,Amelia_Kaur,amelia.kaur@yahoo.com,,,W1 2JL,,,,ameliakaur,amelia.kaur@yahoo.com,,,W12JL,,Amelia_Kaur,2025-01-05,True,5,0,amelia.kaur@yahoo.com,W1 2JL
MARKETING,MKT000097,,,MKT000097,,,,,,,Aaron_Woods,aaron.woods@yahoo.com,,,NN1 3JE,,,,aaronwoods,aaron.woods@yahoo.com,,,NN13JE,,Aaron_Woods,2025-01-05,False,4,0,aaron.woods@yahoo.com,NN1 3JE
MARKETING,MKT000098,,,MKT000098,,,,,,,Paige_Morris,paige.morris@hotmail.com,,,OX1 1JJ,,,,paigemorris,paige.morris@hotmail.com,,,OX11JJ,,Paige_Morris,2025-01-05,True,5,0,paige.morris@hotmail.com,OX1 1JJ
MARKETING,MKT000099,,,MKT000099,,,,,,,Sara_Thomson,sara.thomson@yahoo.com,,,NW1 4XG,,,,sarathomson,sara.thomson@yahoo.com,,,NW14XG,,Sara_Thomson,2025-01-05,True,8,4,sara.thomson@yahoo.com,NW1 4XG
MARKETING,MKT000100,,,MKT000100,,,,,,,Clifford_Yates,clifford.yates@gmail.com,,,SE1 1AW,,,,cliffordyates,clifford.yates@gmail.com,,,SE11AW,,Clifford_Yates,2025-01-05,True,2,0,clifford.yates@gmail.com,SE1 1AW
MARKETING,MKT000101,,,MKT000101,,,,,,,Ricky_Schofield,ricky.schofield@hotmail.com,,,L1,,,,rickyschofield,ricky.schofield@hotmail.com,,,L1,,Ricky_Schofield,2025-01-05,True,3,0,ricky.schofield@hotmail.com,L1
